Development,Address,City/State/ZIP,Interruption,Planned,Report Date,Report Time,Restoration Time,Buildings,Units,Residents
1010 EAST 178TH STREET - Entire Development,1010 EAST 178TH STREET,"BRONX, NY 10460",Hot Water,Unplanned,10/29/24,06:45 AM,10/29/24 09:57 PM,1,220,0
1010 EAST 178TH STREET - Entire Development,1010 EAST 178TH STREET,"BRONX, NY 10460",Hot Water,Unplanned,03/23/25,04:10 PM,03/23/25 11:33 PM,1,220,0
1010 EAST 178TH STREET - Entire Development,1010 EAST 178TH STREET,"BRONX, NY 10460",Heat,Unplanned,03/23/25,04:10 PM,03/23/25 11:30 PM,1,220,0
1010 EAST 178TH STREET - Entire Development,1010 EAST 178TH STREET,"BRONX, NY 10460",Hot Water,Unplanned,03/02/25,05:37 PM,03/02/25 10:17 PM,1,220,0
1010 EAST 178TH STREET - Entire Development,1010 EAST 178TH STREET,"BRONX, NY 10460",Heat,Unplanned,03/02/25,05:37 PM,03/02/25 10:15 PM,1,220,0
1010 EAST 178TH STREET - Entire Development,1010 EAST 178TH STREET,"BRONX, NY 10460",Hot Water,Unplanned,03/01/25,07:21 AM,03/01/25 02:24 PM,1,220,0
1162-1176 WASHINGTON AVENUE - Building 01,1162 WASHINGTON AVENUE,"BRONX, NY 10456",Heat,Planned,02/13/25,10:00 AM,02/13/25 07:42 PM,1,66,121
1162-1176 WASHINGTON AVENUE - Entire Development,1162 WASHINGTON AVENUE,"BRONX, NY 10456",Heat,Planned,02/07/25,10:00 AM,02/07/25 06:36 PM,1,66,121
1162-1176 WASHINGTON AVENUE - Entire Development,1162 WASHINGTON AVENUE,"BRONX, NY 10456",Heat,Unplanned,01/24/25,04:36 PM,01/24/25 11:13 PM,1,66,121
1162-1176 WASHINGTON AVENUE - Entire Development,1162 WASHINGTON AVENUE,"BRONX, NY 10456",Heat,Unplanned,01/04/25,08:12 AM,01/05/25 02:54 AM,1,66,121
131 SAINT NICHOLAS AVENUE - Entire Development,131 SAINT NICHOLAS AVENUE,"NEW YORK, NY 10026",Heat,Unplanned,03/02/25,11:26 PM,03/03/25 06:02 AM,1,100,124
1471 WATSON AVENUE - Entire Development,1471 WATSON AVENUE,"BRONX, NY 10472",Hot Water,Unplanned,02/02/25,07:00 PM,02/03/25 02:25 AM,1,96,122
303 VERNON AVENUE - Entire Development,303 VERNON AVENUE,"BROOKLYN, NY 11206",Hot Water,Unplanned,04/26/25,08:28 AM,04/26/25 12:51 PM,1,234,472
303 VERNON AVENUE - Entire Development,303 VERNON AVENUE,"BROOKLYN, NY 11206",Hot Water,Unplanned,04/19/25,11:22 AM,04/19/25 07:55 PM,1,234,472
303 VERNON AVENUE - Entire Development,303 VERNON AVENUE,"BROOKLYN, NY 11206",Hot Water,Unplanned,03/01/25,08:05 AM,03/01/25 03:08 PM,1,234,472
303 VERNON AVENUE - Entire Development,303 VERNON AVENUE,"BROOKLYN, NY 11206",Hot Water,Unplanned,01/27/25,05:01 AM,01/27/25 11:09 AM,1,234,472
303 VERNON AVENUE - Entire Development,303 VERNON AVENUE,"BROOKLYN, NY 11206",Heat,Unplanned,01/27/25,05:01 AM,01/27/25 11:06 AM,1,234,472
303 VERNON AVENUE - Building 01,303 VERNON AVENUE,"BROOKLYN, NY 11206",Hot Water,Unplanned,01/22/25,12:00 AM,01/22/25 07:23 AM,1,234,472
303 VERNON AVENUE - Building 01,303 VERNON AVENUE,"BROOKLYN, NY 11206",Heat,Unplanned,01/22/25,12:00 AM,01/22/25 05:20 AM,1,234,472
303 VERNON AVENUE - Entire Development,303 VERNON AVENUE,"BROOKLYN, NY 11206",Hot Water,Unplanned,01/21/25,10:06 AM,01/21/25 07:53 PM,1,234,472
303 VERNON AVENUE - Entire Development,303 VERNON AVENUE,"BROOKLYN, NY 11206",Hot Water,Unplanned,01/20/25,10:42 AM,01/20/25 10:18 PM,1,234,472
303 VERNON AVENUE - Entire Development,303 VERNON AVENUE,"BROOKLYN, NY 11206",Hot Water,Unplanned,01/19/25,07:00 AM,01/19/25 11:18 PM,1,234,472
303 VERNON AVENUE - Entire Development,303 VERNON AVENUE,"BROOKLYN, NY 11206",Hot Water,Unplanned,01/14/25,03:00 PM,01/14/25 10:00 PM,1,234,472
830 AMSTERDAM AVENUE - Building 01,830 AMSTERDAM AVENUE,"NEW YORK, NY 10025",Heat,Unplanned,12/23/24,12:00 PM,12/23/24 06:52 PM,1,159,321
830 AMSTERDAM AVENUE - Entire Development,830 AMSTERDAM AVENUE,"NEW YORK, NY 10025",Hot Water,Unplanned,01/17/25,10:00 AM,01/17/25 04:08 PM,1,159,321
830 AMSTERDAM AVENUE - Entire Development,830 AMSTERDAM AVENUE,"NEW YORK, NY 10025",Heat,Unplanned,01/17/25,10:00 AM,01/17/25 04:08 PM,1,159,321
ADAMS - Entire Development,745 EAST 152ND STREET,"BRONX, NY 10455",Heat,Unplanned,12/20/24,07:04 PM,12/21/24 12:42 AM,7,925,"1,920"
ADAMS - Entire Development,745 EAST 152ND STREET,"BRONX, NY 10455",Hot Water,Unplanned,12/20/24,07:04 PM,12/21/24 12:36 AM,7,925,"1,920"
ADAMS - Entire Development,745 EAST 152ND STREET,"BRONX, NY 10455",Hot Water,Planned,10/29/24,10:01 AM,10/29/24 07:56 PM,7,925,"1,920"
ADAMS - Entire Development,745 EAST 152ND STREET,"BRONX, NY 10455",Hot Water,Planned,10/02/24,09:30 AM,10/02/24 11:31 AM,7,925,"1,920"
ADAMS - Entire Development,745 EAST 152ND STREET,"BRONX, NY 10455",Hot Water,Planned,04/15/25,09:03 AM,04/15/25 03:12 PM,7,925,"1,920"
ADAMS - Building 07,815 EAST 152ND STREET,"BRONX, NY 10455",Hot Water,Planned,03/13/25,09:20 AM,03/13/25 02:00 PM,1,143,345
ADAMS - Building 02,700 WESTCHESTER AVENUE,"BRONX, NY 10455",Hot Water,Planned,03/12/25,12:30 PM,03/12/25 04:14 PM,1,124,239
ADAMS - Building 01,735 EAST 152ND STREET,"BRONX, NY 10455",Hot Water,Planned,03/12/25,10:15 AM,03/12/25 01:32 PM,1,122,226
ADAMS - Building 03,720 WESTCHESTER AVENUE,"BRONX, NY 10455",Hot Water,Planned,03/11/25,09:00 AM,03/11/25 02:18 PM,1,126,249
ADAMS - Entire Development,745 EAST 152ND STREET,"BRONX, NY 10455",Heat,Planned,03/05/25,09:00 AM,03/05/25 04:29 PM,7,925,"1,920"
ADAMS - Entire Development,745 EAST 152ND STREET,"BRONX, NY 10455",Hot Water,Planned,03/05/25,09:00 AM,03/05/25 04:25 PM,7,925,"1,920"
ALBANY - Entire Development,180 TROY AVENUE,"BROOKLYN, NY 11213",Hot Water,Unplanned,10/20/24,07:45 AM,10/20/24 03:14 PM,6,829,"1,580"
ALBANY - Entire Development,180 TROY AVENUE,"BROOKLYN, NY 11213",Hot Water,Unplanned,04/15/25,06:00 AM,04/15/25 11:26 AM,6,829,"1,580"
ALBANY II - Entire Development,1400 BERGEN STREET,"BROOKLYN, NY 11213",Hot Water,Unplanned,10/20/24,07:45 AM,10/20/24 03:30 PM,3,400,810
ALBANY II - Entire Development,1400 BERGEN STREET,"BROOKLYN, NY 11213",Hot Water,Unplanned,04/15/25,06:00 AM,04/15/25 11:25 AM,3,400,810
AMSTERDAM - Entire Development,40 AMSTERDAM AVENUE,"NEW YORK, NY 10023",Heat,Unplanned,12/24/24,08:21 AM,12/24/24 12:17 PM,13,"1,084","2,015"
AMSTERDAM - Entire Development,40 AMSTERDAM AVENUE,"NEW YORK, NY 10023",Hot Water,Unplanned,12/24/24,08:21 AM,12/24/24 12:15 PM,13,"1,084","2,015"
AMSTERDAM - Building 01,40 AMSTERDAM AVENUE,"NEW YORK, NY 10023",Hot Water,Unplanned,12/22/24,01:08 PM,12/22/24 09:19 PM,1,182,341
AMSTERDAM - Building 03,80 AMSTERDAM AVENUE,"NEW YORK, NY 10023",Hot Water,Unplanned,12/22/24,01:50 PM,12/22/24 09:18 PM,1,180,354
AMSTERDAM - Building 13,249 WEST 62ND STREET,"NEW YORK, NY 10023",Hot Water,Unplanned,10/16/24,09:00 AM,10/16/24 07:11 PM,1,60,101
AMSTERDAM - Building 11,249 WEST 61ST STREET,"NEW YORK, NY 10023",Hot Water,Unplanned,10/11/24,03:00 PM,10/11/24 07:53 PM,1,60,98
AMSTERDAM - Building 11,249 WEST 61ST STREET,"NEW YORK, NY 10023",Hot Water,Planned,10/10/24,09:15 AM,10/10/24 03:07 PM,1,60,98
AMSTERDAM - Building 13,249 WEST 62ND STREET,"NEW YORK, NY 10023",Hot Water,Planned,10/10/24,09:15 AM,10/10/24 03:05 PM,1,60,101
AMSTERDAM - Building 12,247 WEST 61ST DRIVE,"NEW YORK, NY 10023",Hot Water,Planned,10/10/24,09:12 AM,10/10/24 03:04 PM,1,60,110
AMSTERDAM - Building 11,249 WEST 61ST STREET,"NEW YORK, NY 10023",Hot Water,Planned,10/08/24,09:01 AM,10/08/24 03:54 PM,1,60,98
AMSTERDAM - Building 12,247 WEST 61ST DRIVE,"NEW YORK, NY 10023",Hot Water,Planned,10/08/24,09:01 AM,10/08/24 03:01 PM,1,60,110
AMSTERDAM - Building 13,249 WEST 62ND STREET,"NEW YORK, NY 10023",Hot Water,Planned,10/08/24,09:01 AM,10/08/24 02:27 PM,1,60,101
AMSTERDAM - Entire Development,40 AMSTERDAM AVENUE,"NEW YORK, NY 10023",Heat,Unplanned,03/01/25,09:00 PM,03/02/25 02:57 AM,13,"1,084","2,015"
AMSTERDAM - Entire Development,40 AMSTERDAM AVENUE,"NEW YORK, NY 10023",Hot Water,Unplanned,03/01/25,09:00 PM,03/02/25 02:51 AM,13,"1,084","2,015"
AMSTERDAM - Entire Development,40 AMSTERDAM AVENUE,"NEW YORK, NY 10023",Hot Water,Unplanned,01/23/25,11:30 AM,01/23/25 05:05 PM,13,"1,084","2,015"
AMSTERDAM - Entire Development,40 AMSTERDAM AVENUE,"NEW YORK, NY 10023",Heat,Unplanned,01/23/25,11:30 AM,01/23/25 05:04 PM,13,"1,084","2,015"
AMSTERDAM - Building 06,210 WEST 64TH STREET,"NEW YORK, NY 10023",Hot Water,Unplanned,01/22/25,10:15 AM,01/22/25 04:26 PM,1,90,159
AMSTERDAM ADDITION - Entire Development,240 WEST 65TH STREET,"MANHATTAN, NY 10023",Heat,Planned,11/30/24,10:21 PM,12/17/24 01:21 PM,1,175,312
AMSTERDAM ADDITION - Entire Development,240 WEST 65TH STREET,"MANHATTAN, NY 10023",Hot Water,Planned,12/01/24,08:00 AM,12/01/24 06:44 PM,1,175,312
AMSTERDAM ADDITION - Entire Development,240 WEST 65TH STREET,"MANHATTAN, NY 10023",Hot Water,Planned,11/03/24,10:40 AM,11/03/24 12:14 PM,1,175,312
AMSTERDAM ADDITION - Entire Development,240 WEST 65TH STREET,"MANHATTAN, NY 10023",Heat,Planned,11/03/24,12:00 AM,11/03/24 12:13 PM,1,175,312
AMSTERDAM ADDITION - Building 01,240 WEST 65TH STREET,"NEW YORK, NY 10023",Hot Water,Planned,03/06/25,09:13 AM,03/06/25 02:25 PM,1,175,312
AMSTERDAM ADDITION - Entire Development,240 WEST 65TH STREET,"MANHATTAN, NY 10023",Hot Water,Unplanned,01/09/25,03:15 PM,01/09/25 09:50 PM,1,175,312
ASTORIA - Building 06,3-20 27TH AVENUE,"ASTORIA, NY 11102",Hot Water,Planned,12/05/24,10:30 AM,12/05/24 08:22 PM,1,56,156
ASTORIA - Building 03,27-10 8TH STREET,"ASTORIA, NY 11102",Hot Water,Unplanned,11/29/24,11:30 AM,11/29/24 05:54 PM,1,48,138
ASTORIA - Entire Development,4-21 ASTORIA BOULEVARD,"ASTORIA, NY 11102",Hot Water,Planned,05/08/25,09:30 AM,05/08/25 07:13 PM,23,"1,104","2,546"
ASTORIA - Building 13,4-24 ASTORIA BOULEVARD,"ASTORIA, NY 11102",Hot Water,Planned,04/09/25,09:00 AM,04/09/25 06:06 PM,1,48,96
ASTORIA - Building 17,3-10 ASTORIA BOULEVARD,"ASTORIA, NY 11102",Hot Water,Planned,04/09/25,09:00 AM,04/09/25 04:57 PM,1,48,98
ASTORIA - Building 16,3-06 ASTORIA BOULEVARD,"ASTORIA, NY 11102",Hot Water,Planned,04/09/25,09:00 AM,04/09/25 04:40 PM,1,48,117
ASTORIA - Building 15,3-02 ASTORIA BOULEVARD,"ASTORIA, NY 11102",Hot Water,Planned,04/09/25,09:00 AM,04/09/25 03:47 PM,1,48,106
ASTORIA - Building 20,2-04 ASTORIA BOULEVARD,"ASTORIA, NY 11102",Hot Water,Planned,04/09/25,09:00 AM,04/09/25 03:19 PM,1,48,107
ASTORIA - Building 18,2-10 ASTORIA BOULEVARD,"ASTORIA, NY 11102",Hot Water,Planned,03/18/25,09:00 AM,03/18/25 03:16 PM,1,48,103
ASTORIA - Building 22,1-10 ASTORIA BOULEVARD,"ASTORIA, NY 11102",Hot Water,Planned,03/18/25,09:00 AM,03/18/25 03:09 PM,1,48,88
ASTORIA - Building 21,1-20 ASTORIA BOULEVARD,"ASTORIA, NY 11102",Hot Water,Planned,03/18/25,09:00 AM,03/18/25 03:08 PM,1,48,105
ASTORIA - Building 11,27-25 1ST STREET,"ASTORIA, NY 11102",Hot Water,Planned,03/13/25,09:00 AM,03/13/25 05:56 PM,1,56,116
ASTORIA - Building 10,27-05 1ST STREET,"ASTORIA, NY 11102",Hot Water,Planned,03/13/25,09:00 AM,03/13/25 05:10 PM,1,56,99
ASTORIA - Building 12,1-05 ASTORIA BOULEVARD,"ASTORIA, NY 11102",Hot Water,Planned,03/13/25,09:00 AM,03/13/25 04:35 PM,1,56,129
ASTORIA - Building 09,1-25 ASTORIA BOULEVARD,"ASTORIA, NY 11102",Hot Water,Planned,03/13/25,09:00 AM,03/13/25 04:34 PM,1,56,160
ASTORIA - Building 08,2-10 27TH AVENUE,"ASTORIA, NY 11102",Hot Water,Planned,03/12/25,09:00 AM,03/12/25 07:50 PM,1,56,146
ASTORIA - Building 07,3-04 27TH AVENUE,"ASTORIA, NY 11102",Hot Water,Planned,03/12/25,09:00 AM,03/12/25 04:00 PM,1,48,116
ASTORIA - Building 23,1-04 ASTORIA BOULEVARD,"ASTORIA, NY 11102",Hot Water,Planned,03/12/25,09:00 AM,03/12/25 03:40 PM,1,48,104
ASTORIA - Building 06,3-20 27TH AVENUE,"ASTORIA, NY 11102",Hot Water,Planned,03/12/25,09:00 AM,03/12/25 03:15 PM,1,56,156
ASTORIA - Building 10,27-05 1ST STREET,"ASTORIA, NY 11102",Hot Water,Unplanned,03/09/25,08:19 PM,03/10/25 07:33 AM,1,56,99
ASTORIA - Building 01,4-21 ASTORIA BOULEVARD,"ASTORIA, NY 11102",Hot Water,Planned,03/06/25,09:00 AM,03/06/25 04:01 PM,1,48,100
ASTORIA - Building 04,4-10 27TH AVENUE,"ASTORIA, NY 11102",Hot Water,Planned,03/06/25,09:00 AM,03/06/25 03:57 PM,1,48,108
ASTORIA - Building 02,28-02 8TH STREET,"ASTORIA, NY 11102",Hot Water,Planned,03/06/25,09:00 AM,03/06/25 03:35 PM,1,48,115
ASTORIA - Building 05,4-03 ASTORIA BOULEVARD,"ASTORIA, NY 11102",Hot Water,Planned,03/06/25,09:00 AM,03/06/25 03:23 PM,1,48,145
ASTORIA - Building 10,27-05 1ST STREET,"ASTORIA, NY 11102",Hot Water,Planned,01/15/25,09:15 AM,01/15/25 09:24 PM,1,56,99
ATLANTIC TERMINAL SITE 4B - Entire Development,487 CARLTON AVENUE,"BROOKLYN, NY 11238",Heat,Unplanned,12/28/24,12:21 PM,12/28/24 09:28 PM,1,300,462
ATLANTIC TERMINAL SITE 4B - Entire Development,487 CARLTON AVENUE,"BROOKLYN, NY 11238",Hot Water,Unplanned,12/28/24,12:30 PM,12/28/24 09:24 PM,1,300,462
ATLANTIC TERMINAL SITE 4B - Entire Development,487 CARLTON AVENUE,"BROOKLYN, NY 11238",Hot Water,Unplanned,11/25/24,05:00 PM,11/25/24 09:49 PM,1,300,462
ATLANTIC TERMINAL SITE 4B - Entire Development,487 CARLTON AVENUE,"BROOKLYN, NY 11238",Heat,Unplanned,11/25/24,02:00 PM,11/25/24 08:29 PM,1,300,462
ATLANTIC TERMINAL SITE 4B - Entire Development,487 CARLTON AVENUE,"BROOKLYN, NY 11238",Hot Water,Unplanned,11/11/24,04:27 PM,11/11/24 10:49 PM,1,300,462
ATLANTIC TERMINAL SITE 4B - Building 01,487 CARLTON AVENUE,"BROOKLYN, NY 11238",Heat,Unplanned,04/08/25,10:00 AM,04/08/25 05:22 PM,1,300,462
ATLANTIC TERMINAL SITE 4B - Entire Development,487 CARLTON AVENUE,"BROOKLYN, NY 11238",Hot Water,Unplanned,03/06/25,06:00 PM,03/07/25 02:39 AM,1,300,462
ATLANTIC TERMINAL SITE 4B - Entire Development,487 CARLTON AVENUE,"BROOKLYN, NY 11238",Hot Water,Planned,02/20/25,10:15 AM,02/20/25 03:31 PM,1,300,462
BAILEY AVENUE-WEST 193RD STREET - Entire Development,2663 HEATH AVENUE,"BRONX, NY 10463",Hot Water,Unplanned,05/21/25,02:08 PM,05/21/25 10:51 PM,1,233,0
BAILEY AVENUE-WEST 193RD STREET - Entire Development,2663 HEATH AVENUE,"BRONX, NY 10463",Hot Water,Unplanned,04/21/25,06:11 PM,04/21/25 09:57 PM,1,233,0
BAILEY AVENUE-WEST 193RD STREET - Entire Development,2663 HEATH AVENUE,"BRONX, NY 10463",Hot Water,Unplanned,01/29/25,04:12 PM,01/29/25 10:31 PM,1,233,0
BAILEY AVENUE-WEST 193RD STREET - Entire Development,2663 HEATH AVENUE,"BRONX, NY 10463",Heat,Unplanned,01/29/25,04:12 PM,01/29/25 10:23 PM,1,233,0
BAISLEY PARK - Entire Development,164-01 FOCH BOULEVARD,"JAMAICA, NY 11434",Hot Water,Unplanned,03/09/25,10:46 AM,03/09/25 04:54 PM,6,386,866
BAISLEY PARK - Entire Development,164-01 FOCH BOULEVARD,"JAMAICA, NY 11434",Heat,Unplanned,03/09/25,10:46 AM,03/09/25 04:18 PM,6,386,866
BARUCH - Building 17,140 COLUMBIA STREET,"NEW YORK, NY 10002",Heat,Unplanned,12/26/24,12:00 PM,12/26/24 07:58 PM,1,134,271
BARUCH - Entire Development,605 FDR DRIVE,"NEW YORK, NY 10002",Heat,Unplanned,12/22/24,12:09 PM,12/22/24 10:05 PM,18,"2,194","4,199"
BARUCH - Entire Development,605 FDR DRIVE,"NEW YORK, NY 10002",Hot Water,Unplanned,12/22/24,12:00 PM,12/22/24 09:56 PM,18,"2,194","4,199"
BARUCH - Entire Development,605 FDR DRIVE,"NEW YORK, NY 10002",Hot Water,Planned,12/19/24,02:00 PM,12/19/24 08:55 PM,18,"2,194","4,199"
BARUCH - Entire Development,605 FDR DRIVE,"NEW YORK, NY 10002",Heat,Planned,12/19/24,02:00 PM,12/19/24 08:45 PM,18,"2,194","4,199"
BARUCH,Sectional,,Hot Water,Planned,11/04/24,09:30 AM,11/05/24 07:03 AM,,,
BARUCH - Building 09,120 BARUCH DRIVE,"NEW YORK, NY 10002",Hot Water,Planned,10/24/24,08:50 AM,10/24/24 06:28 PM,1,134,247
BARUCH - Building 08,90 BARUCH DRIVE,"NEW YORK, NY 10002",Hot Water,Unplanned,10/21/24,04:48 PM,10/21/24 09:10 PM,1,134,255
BARUCH - Building 01,605 FDR DRIVE,"NEW YORK, NY 10002",Hot Water,Planned,05/16/25,09:25 AM,05/16/25 03:37 PM,1,70,130
BARUCH - Building 02,577 FDR DRIVE,"NEW YORK, NY 10002",Hot Water,Planned,05/15/25,10:00 AM,05/15/25 03:39 PM,1,134,274
BARUCH - Building 03,555 FDR DRIVE,"NEW YORK, NY 10002",Hot Water,Planned,05/13/25,12:00 PM,05/13/25 03:43 PM,1,134,254
BARUCH - Building 16,120 COLUMBIA STREET,"NEW YORK, NY 10002",Hot Water,Planned,04/08/25,03:40 PM,04/08/25 05:55 PM,1,132,246
BARUCH - Building 01,605 FDR DRIVE,"NEW YORK, NY 10002",Heat,Planned,04/03/25,09:00 AM,04/03/25 12:06 PM,1,70,130
BARUCH - Building 01,605 FDR DRIVE,"NEW YORK, NY 10002",Hot Water,Planned,04/03/25,09:15 AM,04/03/25 05:46 PM,1,70,130
BARUCH - Building 01,605 FDR DRIVE,"NEW YORK, NY 10002",Hot Water,Planned,03/25/25,09:40 AM,03/25/25 04:12 PM,1,70,130
BARUCH - Building 01,605 FDR DRIVE,"NEW YORK, NY 10002",Heat,Planned,03/25/25,09:40 AM,03/25/25 02:06 PM,1,70,130
BARUCH,Sectional,,Hot Water,Planned,03/21/25,09:00 AM,03/21/25 03:53 PM,,,
BARUCH,Sectional,,Heat,Planned,03/21/25,09:05 AM,03/21/25 03:52 PM,,,
BARUCH - Building 08,90 BARUCH DRIVE,"NEW YORK, NY 10002",Heat,Planned,03/06/25,08:00 AM,03/06/25 11:58 AM,1,134,255
BARUCH,Sectional,,Heat,Planned,03/04/25,09:30 AM,03/04/25 05:25 PM,,,
BARUCH,Sectional,,Hot Water,Planned,03/04/25,09:30 AM,03/04/25 05:25 PM,,,
BARUCH - Building 08,90 BARUCH DRIVE,"NEW YORK, NY 10002",Hot Water,Unplanned,02/25/25,08:06 AM,02/25/25 05:28 PM,1,134,255
BARUCH - Building 07,72 BARUCH DRIVE,"NEW YORK, NY 10002",Heat,Unplanned,02/14/25,09:00 AM,02/14/25 02:41 PM,1,132,240
BARUCH - Building 07,72 BARUCH DRIVE,"NEW YORK, NY 10002",Hot Water,Unplanned,02/14/25,09:00 AM,02/14/25 02:40 PM,1,132,240
BARUCH,Sectional,,Heat,Planned,02/14/25,09:30 AM,02/14/25 02:37 PM,,,
BARUCH,Sectional,,Hot Water,Planned,02/14/25,09:36 AM,02/14/25 02:36 PM,,,
BARUCH - Building 06,308 DELANCEY STREET,"NEW YORK, NY 10002",Heat,Unplanned,01/28/25,11:30 AM,01/28/25 06:33 PM,1,134,286
BARUCH - Building 06,308 DELANCEY STREET,"NEW YORK, NY 10002",Hot Water,Unplanned,01/28/25,11:30 AM,01/28/25 06:29 PM,1,134,286
BARUCH HOUSES ADDITION - Building 18,72 COLUMBIA STREET,"NEW YORK, NY 10002",Hot Water,Unplanned,12/26/24,11:00 AM,12/26/24 10:10 PM,1,197,228
BARUCH HOUSES ADDITION - Entire Development,72 COLUMBIA STREET,"NEW YORK, NY 10002",Hot Water,Unplanned,12/22/24,12:09 PM,12/22/24 11:28 PM,1,197,228
BARUCH HOUSES ADDITION - Entire Development,72 COLUMBIA STREET,"NEW YORK, NY 10002",Heat,Unplanned,12/22/24,12:09 PM,12/22/24 10:11 PM,1,197,228
BARUCH HOUSES ADDITION - Entire Development,72 COLUMBIA STREET,"NEW YORK, NY 10002",Hot Water,Planned,12/19/24,02:00 PM,12/19/24 07:56 PM,1,197,228
BARUCH HOUSES ADDITION - Entire Development,72 COLUMBIA STREET,"NEW YORK, NY 10002",Heat,Planned,12/19/24,02:00 PM,12/19/24 07:54 PM,1,197,228
BARUCH HOUSES ADDITION - Building 18,72 COLUMBIA STREET,"NEW YORK, NY 10002",Hot Water,Planned,11/04/24,09:30 AM,11/05/24 06:49 AM,1,197,228
BARUCH HOUSES ADDITION - Building 18,72 COLUMBIA STREET,"NEW YORK, NY 10002",Heat,Planned,03/21/25,09:05 AM,03/21/25 03:53 PM,1,197,228
BARUCH HOUSES ADDITION - Building 18,72 COLUMBIA STREET,"NEW YORK, NY 10002",Hot Water,Planned,03/21/25,09:05 AM,03/21/25 03:25 PM,1,197,228
BARUCH HOUSES ADDITION - Building 18,72 COLUMBIA STREET,"NEW YORK, NY 10002",Hot Water,Planned,03/04/25,09:30 AM,03/04/25 05:29 PM,1,197,228
BARUCH HOUSES ADDITION - Building 18,72 COLUMBIA STREET,"NEW YORK, NY 10002",Heat,Planned,03/04/25,09:30 AM,03/04/25 05:29 PM,1,197,228
BARUCH HOUSES ADDITION - Entire Development,72 COLUMBIA STREET,"NEW YORK, NY 10002",Heat,Planned,02/14/25,09:34 AM,02/14/25 02:37 PM,1,197,228
BARUCH HOUSES ADDITION - Entire Development,72 COLUMBIA STREET,"NEW YORK, NY 10002",Hot Water,Planned,02/14/25,09:38 AM,02/14/25 02:35 PM,1,197,228
BAY VIEW - Entire Development,2045 ROCKAWAY PARKWAY,"BROOKLYN, NY 11236",Hot Water,Unplanned,12/30/24,10:20 AM,12/30/24 02:30 PM,25,"1,610","2,991"
BAY VIEW - Entire Development,2045 ROCKAWAY PARKWAY,"BROOKLYN, NY 11236",Heat,Unplanned,12/26/24,02:14 PM,12/26/24 08:57 PM,25,"1,610","2,991"
BAY VIEW - Entire Development,2045 ROCKAWAY PARKWAY,"BROOKLYN, NY 11236",Hot Water,Unplanned,12/26/24,02:14 PM,12/26/24 08:52 PM,25,"1,610","2,991"
BAY VIEW - Entire Development,2045 ROCKAWAY PARKWAY,"BROOKLYN, NY 11236",Hot Water,Unplanned,12/22/24,06:12 PM,12/23/24 02:46 AM,25,"1,610","2,991"
BAY VIEW - Entire Development,2045 ROCKAWAY PARKWAY,"BROOKLYN, NY 11236",Heat,Unplanned,12/22/24,06:12 PM,12/23/24 02:09 AM,25,"1,610","2,991"
BAY VIEW - Entire Development,2045 ROCKAWAY PARKWAY,"BROOKLYN, NY 11236",Hot Water,Planned,11/20/24,09:00 AM,11/20/24 07:16 PM,25,"1,610","2,991"
BAY VIEW - Entire Development,2045 ROCKAWAY PARKWAY,"BROOKLYN, NY 11236",Hot Water,Unplanned,01/31/25,11:00 AM,01/31/25 03:39 PM,25,"1,610","2,991"
BAY VIEW - Entire Development,2045 ROCKAWAY PARKWAY,"BROOKLYN, NY 11236",Heat,Unplanned,01/31/25,11:00 AM,01/31/25 03:39 PM,25,"1,610","2,991"
BAY VIEW - Entire Development,2045 ROCKAWAY PARKWAY,"BROOKLYN, NY 11236",Hot Water,Unplanned,01/27/25,03:02 PM,01/27/25 10:28 PM,25,"1,610","2,991"
BAY VIEW - Entire Development,2045 ROCKAWAY PARKWAY,"BROOKLYN, NY 11236",Heat,Unplanned,01/27/25,03:02 PM,01/27/25 10:24 PM,25,"1,610","2,991"
BAY VIEW - Entire Development,2045 ROCKAWAY PARKWAY,"BROOKLYN, NY 11236",Heat,Unplanned,01/18/25,08:15 AM,01/18/25 06:48 PM,25,"1,610","2,991"
BAY VIEW - Entire Development,2045 ROCKAWAY PARKWAY,"BROOKLYN, NY 11236",Hot Water,Unplanned,01/18/25,08:15 AM,01/18/25 06:43 PM,25,"1,610","2,991"
BAY VIEW - Entire Development,2045 ROCKAWAY PARKWAY,"BROOKLYN, NY 11236",Hot Water,Planned,01/13/25,01:30 PM,01/13/25 08:04 PM,25,"1,610","2,991"
BAY VIEW - Entire Development,2045 ROCKAWAY PARKWAY,"BROOKLYN, NY 11236",Heat,Planned,01/13/25,01:30 PM,01/13/25 06:22 PM,25,"1,610","2,991"
BAY VIEW - Entire Development,2045 ROCKAWAY PARKWAY,"BROOKLYN, NY 11236",Hot Water,Unplanned,01/10/25,01:49 PM,01/10/25 06:26 PM,25,"1,610","2,991"
BAY VIEW - Entire Development,2045 ROCKAWAY PARKWAY,"BROOKLYN, NY 11236",Heat,Unplanned,01/10/25,01:49 PM,01/10/25 06:07 PM,25,"1,610","2,991"
BAY VIEW - Entire Development,2045 ROCKAWAY PARKWAY,"BROOKLYN, NY 11236",Heat,Unplanned,01/08/25,08:36 PM,01/09/25 12:12 AM,25,"1,610","2,991"
BEACH 41ST STREET-BEACH CHANNEL DRIVE - Building 04,456 BEACH 40TH STREET,"FAR ROCKAWAY, NY 11691",Hot Water,Unplanned,10/11/24,07:00 AM,10/11/24 06:59 PM,1,119,235
