Development,Address,City/State/ZIP,Interruption,Planned,Report Date,Report Time,Restoration Time,Buildings,Units,Residents
STUYVESANT GARDENS I - Entire Development,714 GATES AVENUE,"BROOKLYN, NY 11221",Hot Water,Unplanned,05/10/25,10:14 AM,05/10/25 07:49 PM,5,331,0
STUYVESANT GARDENS I - Building 01,714 GATES AVENUE,"BROOKLYN, NY 11221",Hot Water,Unplanned,04/27/25,08:12 AM,04/27/25 01:33 PM,1,132,0
STUYVESANT GARDENS I - Building 01,714 GATES AVENUE,"BROOKLYN, NY 11221",Hot Water,Unplanned,04/20/25,08:37 AM,04/20/25 03:52 PM,1,132,0
STUYVESANT GARDENS I - Entire Development,714 GATES AVENUE,"BROOKLYN, NY 11221",Hot Water,Unplanned,04/19/25,07:27 AM,04/19/25 03:01 PM,5,331,0
STUYVESANT GARDENS II - Building 01,150 MALCOLM X BOULEVARD,"BROOKLYN, NY 11221",Heat,Unplanned,01/06/25,08:50 AM,01/06/25 01:48 PM,1,150,0
SUMNER,Sectional,,Hot Water,Unplanned,12/24/24,03:45 PM,12/24/24 11:06 PM,,,
SUMNER,Sectional,,Heat,Unplanned,12/24/24,03:45 PM,12/24/24 11:05 PM,,,
SUMNER - Building 07,1031 MYRTLE AVENUE,"BROOKLYN, NY 11206",Heat,Planned,12/16/24,02:15 PM,12/16/24 04:15 PM,1,78,149
SUMNER - Building 03,896 PARK AVENUE,"BROOKLYN, NY 11206",Heat,Planned,12/10/24,09:00 AM,12/10/24 03:04 PM,1,78,146
SUMNER - Building 02,878 PARK AVENUE,"BROOKLYN, NY 11206",Heat,Planned,12/09/24,09:00 AM,12/09/24 05:58 PM,1,84,160
SUMNER - Building 06,1043 MYRTLE AVENUE,"BROOKLYN, NY 11206",Heat,Planned,12/09/24,09:00 AM,12/09/24 03:48 PM,1,84,165
SUMNER,Sectional,,Heat,Unplanned,12/05/24,09:27 AM,12/05/24 06:19 PM,,,
SUMNER,Sectional,,Hot Water,Unplanned,12/05/24,09:27 AM,12/05/24 06:18 PM,,,
SUMNER - Building 11,56 MARCUS GARVEY BOULEVARD,"BROOKLYN, NY 11206",Hot Water,Planned,05/28/25,09:00 AM,05/28/25 05:32 PM,1,106,152
SUMNER,Sectional,,Hot Water,Unplanned,05/22/25,07:16 PM,05/23/25 03:58 AM,,,
SUMNER - Building 11,56 MARCUS GARVEY BOULEVARD,"BROOKLYN, NY 11206",Hot Water,Planned,05/22/25,09:00 AM,05/22/25 04:35 PM,1,106,152
SUMNER,Sectional,,Hot Water,Unplanned,05/18/25,12:07 PM,05/18/25 07:56 PM,,,
SUMNER - Building 11,56 MARCUS GARVEY BOULEVARD,"BROOKLYN, NY 11206",Hot Water,Unplanned,05/03/25,11:00 AM,05/03/25 09:40 PM,1,106,152
SUMNER - Building 13,808 PARK AVENUE,"BROOKLYN, NY 11206",Hot Water,Planned,04/25/25,09:00 AM,04/25/25 02:07 PM,1,84,163
SUMNER - Building 01,868 PARK AVENUE,"BROOKLYN, NY 11206",Hot Water,Planned,04/15/25,09:00 AM,04/15/25 01:27 PM,1,74,150
SUMNER - Building 06,1043 MYRTLE AVENUE,"BROOKLYN, NY 11206",Hot Water,Planned,04/10/25,09:00 AM,04/10/25 01:08 PM,1,84,165
SUMNER - Building 06,1043 MYRTLE AVENUE,"BROOKLYN, NY 11206",Heat,Planned,04/10/25,09:00 AM,04/10/25 01:08 PM,1,84,165
SUMNER - Building 08,995 MYRTLE AVENUE,"BROOKLYN, NY 11206",Hot Water,Planned,04/03/25,09:00 AM,04/03/25 04:03 PM,1,84,143
SUMNER - Building 08,995 MYRTLE AVENUE,"BROOKLYN, NY 11206",Heat,Planned,04/03/25,09:00 AM,04/03/25 04:02 PM,1,84,143
SUMNER,Sectional,,Hot Water,Unplanned,03/28/25,09:00 AM,03/28/25 01:27 PM,,,
SUMNER,Sectional,,Hot Water,Unplanned,03/17/25,09:00 AM,03/17/25 04:43 PM,,,
SUMNER - Entire Development,868 PARK AVENUE,"BROOKLYN, NY 11206",Hot Water,Unplanned,03/02/25,11:53 AM,03/02/25 10:13 PM,13,"1,099","1,969"
SUMNER - Entire Development,868 PARK AVENUE,"BROOKLYN, NY 11206",Heat,Unplanned,03/02/25,11:53 AM,03/02/25 10:09 PM,13,"1,099","1,969"
SUMNER - Building 05,22 LEWIS AVENUE,"BROOKLYN, NY 11206",Heat,Planned,02/27/25,08:30 AM,02/27/25 07:25 PM,1,84,170
SUMNER - Building 05,22 LEWIS AVENUE,"BROOKLYN, NY 11206",Hot Water,Planned,02/27/25,08:30 AM,02/27/25 07:24 PM,1,84,170
SUMNER,Sectional,,Heat,Planned,02/25/25,08:30 AM,02/25/25 03:09 PM,,,
